Education Level;Province;Island;State-owned School with Internet;Private-owned School with Internet;Total Schools with Internet;Total State-owned Schools;Total Private-owned Schools;Total Schools;State-owned School without Internet;Private-owned School without Internet;Total Schools without Internet;
Special Needs School;Papua Tengah;New Guinea;1;1;2;1;2;3;0;1;1;
Special Needs School;Papua Selatan;New Guinea;1;0;1;1;0;1;0;0;0;
Special Needs School;Papua Pegunungan;New Guinea;0;0;0;0;0;0;0;0;0;
Middle School;Aceh;Sumatra;674;304;978;903;391;1294;229;87;316;
Middle School;Sumatera Utara;Sumatra;981;1162;2143;1339;1348;2687;358;186;544;
Middle School;Sumatera Barat;Sumatra;519;159;678;675;183;858;156;24;180;
Middle School;Riau;Sumatra;689;345;1034;874;395;1269;185;50;235;
Middle School;Jambi;Sumatra;422;128;550;558;150;708;136;22;158;
Middle School;Sumatera Selatan;Sumatra;716;461;1177;908;530;1438;192;69;261;
Middle School;Bengkulu;Sumatra;291;62;353;380;77;457;89;15;104;
Middle School;Lampung;Sumatra;588;630;1218;709;746;1455;121;116;237;
Middle School;Kepulauan Bangka Belitung;Sumatra;149;61;210;163;69;232;14;8;22;
Middle School;Kepulauan Riau;Sumatra;201;168;369;236;179;415;35;11;46;
Middle School;DKI Jakarta;Java;285;742;1027;293;777;1070;8;35;43;
Middle School;Jawa Barat;Java;1839;3662;5501;1982;3963;5945;143;301;444;
Middle School;Jawa Tengah;Java;1697;1593;3290;1772;1674;3446;75;81;156;
Middle School;DI Yogyakarta;Java;208;231;439;214;240;454;6;9;15;
Middle School;Jawa Timur;Java;1627;2987;4614;1737;3259;4996;110;272;382;
Middle School;Banten;Java;528;968;1496;573;1029;1602;45;61;106;
Middle School;Bali;Bali;265;118;383;277;127;404;12;9;21;
Middle School;Nusa Tenggara Barat;Lesser Sunda Islands;472;384;856;604;459;1063;132;75;207;
Middle School;Nusa Tenggara Timur;Lesser Sunda Islands;863;337;1200;1380;453;1833;517;116;633;
Middle School;Kalimantan Barat;Kalimantan;704;293;997;1030;347;1377;326;54;380;
Middle School;Kalimantan Tengah;Kalimantan;482;122;604;714;153;867;232;31;263;
Middle School;Kalimantan Selatan;Kalimantan;442;95;537;522;105;627;80;10;90;
Middle School;Kalimantan Timur;Kalimantan;372;221;593;458;239;697;86;18;104;
Middle School;Kalimantan Utara;Kalimantan;94;33;127;156;39;195;62;6;68;
Middle School;Sulawesi Utara;Sulawesi;333;205;538;478;255;733;145;50;195;
Middle School;Sulawesi Tengah;Sulawesi;496;114;610;734;143;877;238;29;267;
Middle School;Sulawesi Selatan;Sulawesi;863;370;1233;1269;444;1713;406;74;480;
Middle School;Sulawesi Tenggara;Sulawesi;444;74;518;694;95;789;250;21;271;
Middle School;Gorontalo;Sulawesi;224;24;248;313;29;342;89;5;94;
Middle School;Sulawesi Barat;Sulawesi;191;33;224;319;59;378;128;26;154;
Middle School;Maluku;Maluku Islands;304;97;401;552;144;696;248;47;295;
Middle School;Maluku Utara;Maluku Islands;212;92;304;373;146;519;161;54;215;
Middle School;Papua Barat;New Guinea;75;34;109;124;40;164;49;6;55;
Middle School;Papua Barat Daya;New Guinea;83;52;135;123;58;181;40;6;46;
Middle School;Papua;New Guinea;113;61;174;189;80;269;76;19;95;
Middle School;Papua Tengah;New Guinea;39;48;87;101;70;171;62;22;84;
Middle School;Papua Selatan;New Guinea;52;21;73;94;36;130;42;15;57;
Middle School;Papua Pegunungan;New Guinea;42;23;65;152;45;197;110;22;132;
Vocational High School;Aceh;Sumatra;134;59;193;153;69;222;19;10;29;
Vocational High School;Sumatera Utara;Sumatra;210;643;853;274;685;959;64;42;106;
Vocational High School;Sumatera Barat;Sumatra;104;88;192;115;97;212;11;9;20;
Vocational High School;Riau;Sumatra;120;152;272;138;168;306;18;16;34;
Vocational High School;Jambi;Sumatra;85;69;154;107;74;181;22;5;27;
Vocational High School;Sumatera Selatan;Sumatra;108;187;295;121;193;314;13;6;19;
Vocational High School;Bengkulu;Sumatra;54;34;88;65;38;103;11;4;15;
Vocational High School;Lampung;Sumatra;96;350;446;111;386;497;15;36;51;
Vocational High School;Kepulauan Bangka Belitung;Sumatra;33;22;55;36;23;59;3;1;4;
Vocational High School;Kepulauan Riau;Sumatra;31;64;95;36;68;104;5;4;9;
Vocational High School;DKI Jakarta;Java;72;469;541;73;488;561;1;19;20;
Vocational High School;Jawa Barat;Java;277;2523;2800;288;2625;2913;11;102;113;
Vocational High School;Jawa Tengah;Java;231;1271;1502;239;1302;1541;8;31;39;
Vocational High School;DI Yogyakarta;Java;49;153;202;50;156;206;1;3;4;
